name,quantity,price,link,description,distributor
digital buck converter,1,64,https://www.amazon.in/UCTRONICS-Numerical-Stabilized-Converter-Adjustable/dp/B01LWXAC5E,for adjusting the power,AMAZON.IN
fan,1,19.4,https://www.amazon.in/Gdstime-Ultrathin-80mm-Brushless-Cooling/dp/B00N1Y4SGY/ref=sr_1_8?crid=3VFEC2S5RZM5W&dib=eyJ2IjoiMSJ9.7dQa6GiDcwZaMJHkbz7HGHN9ayNI9RuHrPT_iF5Ong8_MEklM_yStjXZxANAfzYK0gp3_x2K3XJ4YuRQe7Swvc60PU3ERWhLxI0UxSNzREDb6xKcxVq7M4U5AGGhKVP7wfCtm7C7geX6l_lKrqtbKm30KdTSBNMUvLI9GNMGnEn-nhf-Z8Qg5ICxn1ByermasGQ-DblzqAksyooqCznJmolzjYq6YuLOBqml3bHdvzxRbmIvkxreR8NYpkjxQKkotFqU4Z9tevl_2JUQhpgq0rs_6yGHGpCaxidv9f5UZVg.NkavOskKRj1I_HR1nBN1ayowaDAxiWfYtIBhXnN-ucA&dib_tag=se&keywords=DC+Case+Fan+Brushless+80mm+x+80mm+x+10mm+12V+Quiet+Output+8010&nsdOptOutParam=true&qid=1783356608&s=computers&sprefix=dc+case+fan+brushless+80mm+x+80mm+x+10mm+12v+quiet+output+8010%2Ccomputers%2C255&sr=1-8,to cool it down,AMAZON.IN
SUSWE-180W AC-DC 110-220V to, 36V 5A Switching Power, Board,1,9.39,https://robu.in/product/suswe-180w-ac-dc-110-220v-to-36v-5a-switching-power-board/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWdv75GDbnz711pWQUYG_alRd&gclid=CjwKCAjwpK3SBhASEiwAtV1SPN6PNZiEfqgNhUSfHZJV2jU7PYVrLhxr8P_aysi8F9XejcNscbs0mBoCoWgQAvD_BwE,to power the whole powersupply,ROBU.IN
LM2596S DC-DC Buck Converter,1,0.44,https://robu.in/product/lm2596s-dc-dc-buck-converter-power-supply/,to power the fan,ROBU.IN
1.5M AC 10A 250V Power Supply Adapter Cord,1,1.15,https://robu.in/product/1-5m-ac-10a-250v-power-supply-adapter-cord-cable/,for connection,ROBU.IN
Mini Rocker Switch-3Pin,2,0.20,https://robu.in/product/kcd5-103-mini-rocker-switch-3pinon-off-on/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcnS7qom-eBSwnkB2-m7B_Uv&gclid=CjwKCAjwpK3SBhASEiwAtV1SPLwxYaZc-eA1jEy9nzWraxf7PTrz80yhSRdBgI-c3lwWzHKTdP5ixBoCkm8QAvD_BwE,for on and off,ROBU.IN
4mm banana jack,2,0.65,https://robu.in/product/black-js-910b-4mm-banana-socket-jack/,connect wire,ROBU.IN
4mm Banana Plug Alligator Clip,2,3.35,https://robu.in/product/red-1m-double-end-test-lead-wire-4mm-banana-plug-alligator-clip-crocodile-15a/,connections,ROBU.IN
female DC jack,2,0.20,https://robu.in/product/dc-005-female-dc-power-jack-supply-socket-5-5x2-1mm/,for connect dc wires,ROBU.IN
female usb connector,1,0.156,https://robu.in/product/u221-041n-1br69-s1-xkb-usb-2-0-direct-insert-female-usb-connectors-rohs/,for connect usb ports,ROBU.IN
XT60 connectors,2,1.26,https://robu.in/product/amass-xt60-gold-plated-bullet-battery-connector-pair-xt60-fgy-and-xt60-mgy/,for connections,ROBU.IN
10AWG copper wire,2,1.15,https://robu.in/product/20awg-high-voltage-silicone-wire-3000v-red/,for connections,ROBU.IN
5a diode,1,0.62,https://robu.in/product/mur550apfrlg-onsemi-520v-independent-1-15v5a-95ns-5a-plugin-switching-diodes-rohs/,for prevent spikes,ROBU.IN
